#,Intervención,politica,Descripción,impacto,complejidad
1,Clasificación automática,Solicitudes de cambio atra vez de jira,Implementar IA que analice las solicitudes en Jira y clasifique automáticamente el tipo de cambio,4,3
2,Validación de requisitos,Solicitudes de cambio atra vez de jira,"IA que revise que las solicitudes cumplan con los requisitos obligatorios definidos, como QA aprobado, rollback descrito y justificación clara.",5,4
3,Recordatorios inteligentes,Solicitudes de cambio atra vez de jira,"Un sistema basado en IA puede enviar alertas automáticas para plazos relacionados con Jira (evidencias, cierres, actualizaciones de estado).",3,2
4,Simulación previa,Cambios probados previamente en desarrollo y certificados por QA,"Usar IA para modelar el cambio en un entorno virtual que simule el ambiente de producción, identificando problemas potenciales antes del despliegue.",5,5
5,Análisis de impacto automático:,Cambios probados previamente en desarrollo y certificados por QA,Predecir el impacto en producción basándose en datos históricos de cambios similares y sus resultados,4,4
6,Recomendación inteligente,Cambios evaluados por el Comité de Cambios,"Un modelo de IA puede sugerir la aprobación, rechazo o necesidad de más información sobre un cambio basándose en reglas predefinidas y datos históricos",4,3
7,Simulación de impacto,Cambios evaluados por el Comité de Cambios,Implementar simuladores de IA para analizar el efecto del cambio en los servicios antes de su aprobación,5,5
8,Análisis de dependencias,Cambios evaluados por el Comité de Cambios,Usar IA para identificar dependencias entre controles de cambio y prever conflictos o impactos cruzados antes de ser presentados al comité,5,4
9,Automatización de despliegues,"Despliegues realizados por equipos específicos (DBA Cloud, DevOps, infraestructura, proveedores)",IA integrada con herramientas de DevOps para optimizar el orden de ejecución y monitorear posibles errores en tiempo real,5,3
10,Monitoreo predictivo,"Despliegues realizados por equipos específicos (DBA Cloud, DevOps, infraestructura, proveedores)",Sistemas basados en IA que detecten patrones de rendimiento anómalos durante o después del despliegue y envíen alertas antes de que se conviertan en problemas críticos,4,3
11,Estrategias de rollback dinámicas,Rollback obligatorio en caso de fallos,IA que sugiera y valide estrategias de rollback específicas basándose en el tipo de cambio y el impacto en producción,4,3
12,Validación de rollback,Rollback obligatorio en caso de fallos,Simulaciones previas del rollback usando IA para garantizar que la reversión será completa y efectiva antes de ejecutarla,5,3
13,Vinculación automática,Los cambios exitosos pero con errores deben escalarse como incidentes productivos,IA que relacione incidentes en Jira con los cambios específicos que pudieron haberlos causado basándose en patrones de error,4,2
14,Análisis de causa raíz,Los cambios exitosos pero con errores deben escalarse como incidentes productivos,"Usar IA para identificar automáticamente la causa principal de un fallo relacionado con un cambio, acelerando la resolución de problemas",5,4
15,Asistencia en lenguaje natural,Justificación clara en lenguaje sencillo,"IA que revise las justificaciones y descripciones de los cambios, sugiriendo correcciones para asegurar que sean claras y comprensibles para usuarios no técnicos.",3,3
16,Validación automática,"Historia de usuario asociada en Jira y en estado ""Pendiente PAP""","IA que garantice que las historias de usuario asociadas cumplen con los estados requeridos (ej. ""Pendiente PAP"") antes de enviar los cambios al comité",4,2
17,Seguimiento automatizado,"Historia de usuario asociada en Jira y en estado ""Pendiente PAP""","IA que mantenga la trazabilidad entre las historias de usuario, incidentes y cambios relacionados en Jira",3,2
18,Análisis de impacto,Impacto en la operación debe ser documentado,"IA que evalúe el posible impacto del cambio en la operación, clasificándolo automáticamente en interrupción total, parcial o degradación del servicio",4,4
19,Generación automática de reportes,Impacto en la operación debe ser documentado,IA que compile información del impacto en producción y la documente en las bitácoras de comité y calendario de cambios.,3,2
20,Optimización de agendas,cambios limitados por día,"Usar IA para planificar el calendario de cambios, priorizando aquellos con mayor urgencia o menor impacto y asegurando que no se excedan los límites establecidos.",5,3
21,Gestión de capacidad predictiva,cambios limitados por día,IA que evalúe la carga de trabajo futura y proponga ajustes en la programación para evitar cuellos de botella.,4,4
22,Validación de evidencias,Evidencias de Sanity Check funcional adjuntas en Jira,"IA que revise automáticamente las evidencias adjuntas, verificando que cumplen con los estándares requeridos antes de cerrar el cambio.",4,2
23,Detección de faltantes,Evidencias de Sanity Check funcional adjuntas en Jira,IA que notifique a los responsables si las evidencias no están completas o si no se subieron dentro del plazo estipulado.,3,2
24,Generación automática de documentación,Documentación y trazabilidad en bitácoras y calendarios,"IA que redacte resúmenes de los cambios realizados, resultados de las pruebas y conclusiones basándose en información de Jira y otras fuentes.",3,3
25,Trazabilidad automatizada,Documentación y trazabilidad en bitácoras y calendarios,"IA que mantenga un registro claro y actualizado de todas las interacciones, aprobaciones y modificaciones realizadas a cada cambio.",4,3
